word;tone
ворог;-2
ворожий;-1
впарювати;-1
впевнений;1
впевненість;1
впевнено;1
впертий;-1
впливовий;1
впровадження;1
вражати;1
вражаючий;1
врегулювання;1
всеблагий;1
вселенський;1
всемогутній;1
всеосяжний;1
всеохоплюючий;1
всепереможний;1
всеросійський;1
втеча;-1
втішати;1
втома;-1
втомлюватися;-1
вторгатися;-1
вторгнення;-1
втрата;-1
втратити;-1
втричі;-1
втручання;-1
втручатися;-1
вузьколобий;-1
вціліти;1
галасливий;-1
гальмо;-1
гальмувати;-1
ганебний;-2
ганьба;-2
гарантійний;1
гарантований;1
гармонійний;1
гармонійно;1
гармонія;1
гарненько;1
гаснути;-2
гвалтувати;-1
генералісимус;1
геніальний;1
геній;2
героїн;-2
героїчний;2
героїчно;1
герой;1
геройство;1
гидота;-2
гидувати;-1
гинути;-1
гівняний;-2
гідний;1
гідність;1
гільза;-1
гіпертрофований;-1
гітлерівець;-1
гітлерівський;-1
гламурний;-1
глибокодумний;1
гнаний;-1
гнида;-2
гнилий;-2
гнів;-1
гнівний;-1
гнітити;-2
гнітючий;-1
гнобити;-1
голодомор;-1
голослівний;-1
гомеричний;-1
гомофоб;-1
гоніння;-1
гопник;-1
гордість;1
гордовитий;-1
горілий;-1
горіти;-1
грабіжник;-1
грабіжницький;-2
грабувати;-1
грамотний;1
грамотно;1
гранатомет;-1
граціозний;1
грибковий;-1
гріх;-1
гріховний;-1
грішний;-1
громіздкий;-1
грубуватий;-1
грунтовний;1
ґрунтовний;1
групка;-1
губитися;-1
гудіти;-1
гуманістичний;1
гуманний;1
гумор;1
гумористичний;1
даремний;-1
даремно;-1
дарувати;1
дбайливий;1
двієчник;-1
двосторонній;1
двоякий;-1
дев'яностий;-1
девіантний;-1
дегенерат;-2
дегенеративний;-1
деградація;-1
деградувати;-2
дезінформація;-1
декласований;-1
демон;-1
демонічний;-1
депортація;-1
депресивний;-1
депресія;-1
деспотичний;-2
дестабілізація;-1
деструктивний;-1
дефект;-1
дефіцит;-1
дефіцитний;-1
джинса;-1
диверсант;-1
диверсійний;-1
диверсія;-1
дивина;-1
дивний;-1
дивовижний;1
дикий;-2
дикість;-1
дилетантський;-1
дипломатія;1
дисгармонійний;-1
дискомфортний;-1
дискредитація;-1
дискредитувати;-1
дискримінаційний;-1
дискримінація;-1
дитинство;1
дитя;1
диявол;-1
диявольський;-2
дівка;-1
дідівщина;-1
дірка;-1
дірявий;-1
дітлахи;1
діяч;-1
добірний;-1
доблесний;1
доблесть;1
добрий;1
добро;1
добровільно;1
доброволець;1
добровольчий;1
доброзичливий;1
добропорядний;2
доброта;1
добротний;1
доброчесний;1
доброякісний;1
довговічний;1
довіра;1
довірчий;1
довіряти;1
довічний;-2
докочуватися;-1
докучливий;-1
домагання;-2
допитувати;-1
доплата;1
допомога;1
доречний;1
дорікати;-1
дорогоцінний;1
дорожнеча;-1
досконалість;1
дослідження;1
достовірно;1
досягнення;1
дохнути;-2
доходність;1
доцільний;1
драматичний;-1
дратівливий;-1
дратувати;-1
дріб'язковий;-1
другосортний;-1
дружити;1
дружній;1
дупа;-2
дурацький;-1
дурість;-2
дурний;-2
дурник;-1
дурниця;-1
дурнуватий;-1
духовність;1
душити;-1
дякувати;1
егоїстичний;-1
егоцентричний;-1
ейфорія;2
еквівалентний;1
екологічний;1
економити;-1
ексклюзивний;1
експансія;-1
експлуатувати;-1
експресивний;-1
експропріація;-1
екстравагантний;-1
екстремальний;1
екстремізм;-1
екстремістський;-1
елегантний;1
елітний;1
ембарго;-1
енергійний;2
енергонезалежний;1
епічний;1
епохальний;1
еротичний;-1
естетичний;1
етичний;1
ефект;1
ефективний;1
ефективність;2
ефективно;1
ефемерний;-1
єдність;1
єресь;-1
єхидний;-2
жаданий;1
жадібний;-1
жадібність;-1
жалити;-1
жартівливий;1
жахати;-1
жахатися;-1
жахливий;-2
жахливо;-2
жебрак;-1
жертва;-2
жертвувати;-1
живий;1
животрепетне;1
живучий;1
жид;-1
жидівський;-1
життєздатний;1
життєрадісний;1
життєстверджуючий;1
жіночний;1
жовчний;-1
жопа;-2
жорстокий;-2
жорстокість;-2
жура;-1
з'єднання;-1
заарештований;-1
забезпечення;1
забивати;-1
заблудлий;-1
заблукати;-1
заборгованість;-1
заборонний;-1
забороняти;-1
заборонятися;-1
забруднення;-1
завербовувати;-1
завзятий;1
завзятість;1
завивання;-1
завивати;-1
завчасний;1
загальнолюдський;1
загальносвітовий;1
загарбник;-1
загибель;-1
загинути;-2
загострення;-1
загострюватися;-1
загрожувати;-2
загроза;-1
загубити;-1
задавлювати;-1
задоволення;2
задушевний;1
задушити;-1
зажертися;-2
заздрісний;-1
заздрість;-1
зайвий;-1
зайобувати;-2
заклопотаність;-1
закомплексований;-1
закохуватися;1
закурювати;1
залучати;1
залякування;-1
заманливий;1
замах;-1
замикати;-1
замкнутий;-1
замовчувати;-1
заморочуватися;-1
занепад;-1
занепадницький;-1
занепокоєння;-1
занудний;-1
занудьгувати;-1
заохочувальний;1
запалення;-1
запаморочливий;1
запеклий;-1
запідозрювати;-1
запізнення;-1
заплутувати;-1
запобігати;1
заповітний;1
заражати;-1
заражатися;-1
зараження;-1
зараза;-2
зарізати;-2
заробітчанин;-1
заручник;-1
засвічуватись;-1
засідка;-1
заслуга;1
заслужений;1
заслужено;1
засмучувати;-1
засмучуватися;-1
заспокоювати;1
заспокоюватися;1
застарівати;-1
застарілий;-1
застійний;-1
застрелюватися;-1
засуджувати;-1
затишний;1
затоплення;-1
затоплювати;-1
затягуватися;-1
зауваження;-1
захват;2
захворювання;-1
захист;1
заховати;-1
захоплюючий;1
зациклюватися;-1
зацікавлювати;1
зачаровувати;1
зашкалювати;-1
зашкарублий;-1
зашквар;-1
збанкрутувати;-1
збитковий;-1
збиток;-1
збільшувати;1
зближення;1
збочення;-1
збочувати;-1
зброя;-1
збудник;-1
звалювати;-1
звалюватися;-1
звинувачення;-1
звинувачувати;-1
звіріти;-1
звірство;-2
звітувати;-1
зволікати;-1
зворушливий;1
згвалтування;-2
згвалтувати;-2
зграя;-1
згубний;-1
здирство;-1
здорожчати;-1
здохнути;-2
здравий;1
здраво;1
здравомислячий;1
зек;-1
зіпсувати;-1
зіпсуватися;-1
зірка;1
зіткнення;-1
зламатися;-1
зламувати;-1
зле;-1
зливати;-1
злидні;-1
злий;-1
злитися;-1
злиття;1
злісний;-2
злість;-2
зло;-1
зловживання;-2
зловмисний;-1
зловмисник;-2
злодіяння;-2
злом;-1
злопам'ятний;-1
злорадний;-1
злочин;-1
злочинний;-1
злощасний;-1
злоякісний;-1
злякатися;-1
змітати;-1
зміцнення;1
змова;-1
змовник;-1
змучений;-1
змушувати;-1
знаменний;1
значний;1
зневажливий;-1
знехотя;-1
знешкоджувати;1
знижуватися;-1
знищення;-1
знищувати;-1
знищуватися;-1
зніяковілість;-1
знос;-1
знущальний;-1
знущатися;-2
зобов'язувати;-1
золотий;1
зомбі;-1
зомбувати;-1
зрада;-2
зраджувати;-1
зривати;-1
зручний;1
зручність;1
зручно;1
зсув;-1
зубожілий;-1
зупинка;-1
зухвалий;1
ідеал;1
ідеалізм;1
ідеальний;1
ідейний;1
ідіот;-1
ідіотизм;-2
ідіотський;-2
ілюзія;-1
імператорський;1
імпонувати;1
імунітет;1
інвалід;-1
інвалідність;-1
індиферентний;-1
індульгенція;1
інноваційний;1
інородець;-1
інсульт;-1
інтеграція;1
інтелектуал;1
інтелектуальний;1
інтелігентний;1
інтелігенція;1
інтенсивний;1
інтервенція;-1
інфантильний;-1
інфаркт;-1
інфернальний;-1
інформувати;1
інцест;-1
інцидент;-1
іракський;-1
іржавий;-1
ісламіст;-1
ісламістський;-1
істеричний;-1
істинний;1
істинно;1
їдкий;-1
каліцтво;-1
калічити;-1
капіталіст;-1
карати;-1
карколомний;1
катаклізм;-1
катастрофа;-1
катастрофічний;-2
катастрофічно;-2
категоричний;-1
каторжна;-2
катувати;-1
каюта;1
кваліфікований;1
кволий;-1
кепський;-1
кислий;-1
кілер;-1
кінчений;-2
кістлявий;-1
класний;1
коливатися;-1
колись;-1
комедія;1
компанійський;1
компетентний;1
комплімент;1
компроміс;1
комфортабельний;1
комфортний;1
комфортно;1
конкурентний;1
конкурентоспроможний;1
конструкція;1
контрабанда;-1
контртерористичний;1
конфіскація;-1
конфіскувати;-1
конфлікт;-1
конфліктний;-1
концтабір;-1
коняка;1
копійчаний;-1
копіткий;1
корисливий;-1
коротенький;1
корумпувати;-1
корупційний;-1
корупціонер;-1
корупція;-1
корявий;-1
кошмар;-1
кошмарний;-1
коштовний;-1
крадіжка;-1
крапелька;1
крапельниця;-1
красивий;1
красномовний;1
красти;-2
крах;-2
кращати;1
кращий;1
кривавий;-2
кривдник;-1
криза;-1
кризовий;-1
крик;-1
крикливий;-1
кримінал;-1
криміналістичний;-1
криміногенний;-1
критикувати;-1
крихкий;-1
кричущий;-1
кришталевий;1
кровожерливий;-2
кровопролитний;-1
кровопролиття;-2
кровотеча;-1
крутий;1
ксенофобія;-1
кульгати;-1
куля;-1
купка;-1
куртуазний;-1
кухарка;-1
лайливий;-1
ламати;-1
ламатися;-1
ласий;1
ласкавий;1
лауреат;2
лаятися;-1
левиний;1
легальний;1
легендарний;1
легітимний;1
легкий;1
легкість;1
легковажний;-1
легковірний;-1
ледар;-1
ледачий;-1
лесбійка;-1
лженаука;-1
липовий;-2
лихо;-1
лихоманка;-1
лицемірний;-1
лицемірно;-1
ліквідація;-1
ліквідний;1
ліки;1
лікувальний;1
лопнути;-1
лохів;-1
лояльність;1
лузер;-2
лукавий;-1
лукавити;-1
люб'язний;1
люблячий;1
людинолюбний;1
людиноненависницький;-2
людожер;-1
лють;-2
лякати;-1
ляп;-1
м'якотілих;-1
м`ясопродукт;-1
магічний;1
мажор;-1
мажорний;-1
маловивчений;-1
малограмотний;-1
малодоступний;-1
малоефективний;-1
малоосвічений;-1
малоцікавий;-1
малуватий;-1
мальовничий;1
малювання;1
маніакальний;-1
маніпулювати;-1
маніпуляція;-1
манірний;-1
маразматичний;-1
маргінал;-1
маріонетка;-1
марний;-1
марність;-1
марнославство;-1
масштабний;1
матінка;1
мафіозний;-1
мафія;-1
медаліст;1
мелодійний;1
менінгіт;-1
меншість;-1
мерзенний;-2
мерзота;-2
меркантильний;-1
мертвий;-2
мертвонароджений;-1
милосердний;1
милосердя;1
милуватися;1
мимоволі;-1
миролюбний;1
миротворець;1
миротворчий;1
мистецтво;1
миш'як;-1
містечко;1
містечковий;-1
місткий;1
місто-герой;1
міфічний;-1
міцний;1
міцність;1
мішанина;-1
млявий;-1
множинний;-1
могила;-1
могутній;1
могутність;1
модернізувати;1
моджахед;-1
монстр;-1
монументальний;1
моральність;1
моторошний;-1
мочити;-1
мракобісний;-2
мракобісся;-2
мрійливий;1
мрія;1
мріяти;1
мстивий;-1
мститися;-1
мудрий;1
мудрість;1
мужній;1
мужність;2
мука;-1
мутний;-1
мученик;1
мучити;-1
мюнхенський;-1
набирати;-1
набридати;-1
набуття;1
нав'язливий;-1
нав'язування;-2
навішувати;-1
навмисний;-1
навтьоки;-1
нагадувати;-1
наганяти;-1
наговорювати;-1
нагорода;1
нагородження;1
нагороджувати;1
нагороджуватися;1
награбувати;-2
надгробок;-1
наддержава;1
надихати;1
надія;1
надлишковий;-1
надмірність;-1
надприбутковий;2
надриватися;-1
надуманий;-1
наживатися;-1
наївний;-1
наїзд;-1
найкращий;2
накидатися;-1
наклеп;-1
наклепницький;-1
накручувати;-1
налагоджувати;1
налякати;-1
нанесення;-1
напад;-1
нападати;-1
нападки;-1
напівмертвий;-1
напівписьменний;-1
наплювати;-1
наповал;-1
напруга;-1
напружувати;-1
наражати;-1
нарікання;-1
наркобізнес;-1
наркоманія;-1
наркоманський;-1
наркота;-2
наркотик;-1
наркотичний;-1
насаджувати;-1
насильник;-1
насильницький;-1
насильно;-1
насильство;-1
насолода;1
насолоджуватися;1
насрати;-2
настирливий;-1
насторожувати;-1
натовп;-1
натуральний;1
натяжка;-1
нахабно;-1
нахабство;-1
нахуй;-2
нацистський;-1
нашкодити;-1
неагресивний;1
неадекватний;-1
неадекватність;-2
неактуальний;-1
неакуратний;-1
небажаний;-1
небажання;-1
небайдужий;1
небанальний;1
небезкорисний;1
небезпечний;-1
небитий;1
неблагонадійний;-1
неблагополуччя;-1
неважливий;-1
невгамовний;-1
невдалий;-1
невдача;-1
невдачливий;-1
невдоволення;-2
невдячний;-1
невигідний;-1
невигідно;-1
невизнаний;-1
невизначений;-1
невиконаний;-1
невиконання;-1
невиліковний;-1
невимушений;1
невиплачений;-1
невиправданий;-1
невиправний;-1
невиразний;-1
невиразно;-1
невирішений;-1
невисокий;-1
невичерпний;1
невігластво;-1
невідповідний;-1
невідповідність;-1
невідступний;1
невірний;-1
невміння;-1
невпевнений;-1
невразливий;1
неврівноважений;-1
невтішний;-1
невтомний;1
негативний;-1
негативно;-1
негідний;-1
негідник;-1
неглибокий;-1
негода;-1
неграмотний;-1
негуманний;-1
недалекоглядний;-1
недбайливий;-1
недбалий;-1
недбалість;-2
недвозначний;-1
недешевий;-1
недисциплінований;-1
недитячий;-1
недієздатний;-1
недобросовісний;-1
недовговічний;-1
недовіра;-1
недовірливий;-1
недоглянутий;-1
недозволений;-1
недоладний;-1
недоладність;-1
недолік;-1
недолугий;-1
недолугість;-1
недолюблювати;-2
недоношений;-1
недопалок;-1
недоречний;-1
недорікуватий;-1
недоробка;-1
недорозвинений;-1
недосвідчений;1
недосконалий;-1
недостатній;-1
недостатність;-1
недостовірний;-1
недосяжний;1
недоторканність;1
недоумкуватість;-1
недружелюбний;-2
недружній;-1
неетичний;-1
неефективний;-1
неефективність;-1
неживий;-1
нежиттєздатний;-1
нез'ясований;-1
незабутній;1
незагойний;-1
незадовільний;-1
незадоволений;-1
незакінчений;-1
незаконний;-1
незамараний;1
незамінний;1
незаможний;-1
незаперечний;1
незапорошений;1
незаслужений;-1
незаслужено;-1
незатишний;-2
незатребуваний;-1
незбалансований;-1
незбутній;-1
незгідний;-1
нездатний;-1
нездатність;-1
нездійснений;-1
нездійсненний;-1
нездоровий;-1
неземний;1
незламний;1
незломлений;1
незмивний;-1
незміцнілий;-1
незрівнянний;2
незрозумілий;-1
незрозуміло;-1
незручний;-1
незручно;-1
неідеальний;-1
неінформативний;-1
неїстівний;-1
некваліфікований;-1
некерований;-1
некомпетентний;-1
неконкурентоспроможний;-1
неконтрольований;-1
неконфліктний;1
некоректний;-1
некультурний;-1
неласкавий;-1
нелегальний;-1
нелегітимний;-1
неліцензійний;-1
нелогічний;-1
нелогічність;-1
нелюбимий;-1
нелюбов;-1
нелюдський;-2
нелюдяний;-1
немаловажливий;1
немилосердний;-1
неминучість;-1
немислимий;-1
немислимо;-1
неміцний;-1
немічний;-1
неможливий;-1
неможливість;-1
немолодий;-1
ненавидіти;-2
ненависний;-2
ненависть;-2
ненавчений;-1
ненадійний;-1
ненажерливий;-1
неналежний;-1
ненаситний;-1
ненатуральний;-1
ненормальний;-1
ненормативний;-1
необ'єктивний;-1
необачний;-1
необгрунтований;-1
необдуманий;-1
необережний;-1
необов'язковий;-1
необтяжливий;1
неоднозначний;-1
неонацистський;-1
неопалюваний;-1
неоплачуваний;-1
неорганізований;-1
неоригінальний;-1
неосвічений;-1
неосяжний;1
неохайний;-2
неохоче;-1
неоціненний;1
непатріотичний;-1
неперевершений;1
неперевірений;-1
непередаваний;1
непередбачений;-1
непередбачуваний;-1
непереконливий;-1
непереможений;1
непереможний;1
непідготовлений;-1
непідконтрольний;-1
непідкупний;1
непідробний;1
неповага;-1
неповажний;-2
неповноцінний;-1
неповноцінність;-1
непоганий;1
непогано;1
непоказний;-1
непокірний;-1
непокора;-1
непомірний;-1
непопулярний;-1
непорозуміння;-1
непорядний;-1
непослідовний;-1
непотрібний;-1
неправда;-1
неправдоподібний;-1
неправильний;-1
неправильно;-1
неправомірний;-1
непрактичний;-1
неприбутковий;-1
непривабливий;-1
непривітний;-1
неприглядний;-1
непридатний;-1
неприємний;-1
неприємність;-1
неприйнятний;-1
неприйняття;-1
неприкметний;-1
неприкритий;-1
непримиренний;-1
непримітний;-1
неприпустимий;-1
неприродний;-1
непристойний;-1
непристосований;-1
неприязний;-1
непробивний;1
непродуктивний;-1
непродуманий;-1
непросвітлений;-1
непростимий;-1
непрофесійний;-1
непроханий;-2
непрошений;-1
нерадісний;-1
нервовий;-1
нервозний;-1
нервувати;-1
нереалізований;-1
нереалістичний;-1
нереальність;-1
нерівний;-1
нерівність;-1
нерішучий;-1
нероба;-1
нерозв'язний;-1
нерозуміння;-1
нерозумний;-1
нерозумно;-1
несамовитий;-1
несамостійний;-1
несанкціонований;-1
несвідомий;-1
несексуальний;-1
несерйозний;-1
несиметричний;-1
несимпатичний;-1
несистемний;-1
несказаний;1
нескладно;1
нескромний;-1
неслухняний;-1
несмачний;-1
несплата;-1
несплачений;-1
несповідимий;-1
неспокійний;-1
несправедливо;-2
несправний;-1
несприятливий;-1
неспроможність;-1
нестабільний;-1
нестабільність;-1
нестандартний;1
нестаріючий;1
нестерпний;-2
нестриманий;-1
несумісний;-1
несучасний;-1
несхвальний;-1
нетверезий;-1
нетерпіння;-1
нетерплячий;-1
неточний;-1
неточність;-1
неув'язка;-1
неуважний;-1
неугодний;-1
неупереджений;1
неуспішний;-1
неушкоджений;1
нехороший;-1
нехтувати;-1
нецензурний;-1
нецивілізований;-2
нецікавий;-1
нечесний;-1
нечесно;-1
нечестивий;-1
нечистий;-1
нечисть;-1
нешкідливий;1
нещадний;-1
нещасливий;-2
нещастя;-2
нещирий;-1
неявний;-1
неякісний;-1
неясно;-1
низький;-1
низькооплачуваний;-1
низькопробний;-1
низькоякісний;-1
ниття;-1
нищівний;1
ніжність;1
нікудишній;-2
нікчема;-2
нікчемний;-2
німецько-фашистський;-1
нірвана;1
нісенітниця;-1
ніякий;-1
новаторський;1
новомодний;1
нормативний;1
нудний;-1
нуднуватий;-1
нудота;-1
нудотний;-2
нудьга;-1
об'єктивність;1
об'їдати;-1
обачний;1
обвал;-1
обвалення;-1
обвальний;-1
обвинувальний;-1
обгорілий;-2
обивательський;-1
обкладати;-1
обкрадати;-1
облізлий;-2
обманювати;-1
обмеженість;-1
обожнювати;1
обрадувати;1
ображати;-1
образа;-1
образливий;-2
обривати;-1
обрушувати;-1
обрушуватися;-1
обстріл;-1
обстрілювати;-1
обсценний;-1
обтяжливий;-1
обурення;-1
обурливий;-2
обурюватися;-1
обшук;-1
огидний;-2
одіозний;-1
одноголосний;1
однодумець;1
одноманітний;-1
одужання;1
одужувати;1
оживати;1
озброєння;-1
озвірілий;-2
оздоровлення;1
оздоровчий;1
окупант;-1
окупаційний;-1
окупувати;-1
олігарх;1
олігархічний;-1
олігархія;-1
онкологічний;-1
онкологія;-1
оплакувати;-1
оплески;1
оптимальний;1
оптимізм;1
оптимізувати;1
оптимістичний;1
оригінальний;1
оригінальність;1
осаджувати;-1
освітній;1
оскаржувати;-1
оскароносний;1
осуд;-1
отруєння;-1
отруйний;-1
отруювати;-1
офігенний;1
очищення;1
ощадливий;1
п'яний;-2
падати;-1
падіння;-1
панахида;-2
паніка;-1
панічний;-1
панування;1
парадоксально;1
паразитарний;-1
паразитичний;-1
паралізувати;-1
параноїдальний;-1
паритися;-1
паршивий;-1
паскудний;-2
пастка;-1
патогенний;-1
патологічний;-1
патологія;-1
патріотичний;1
пафос;-1
пафосний;-1
паща;-1
педерастична;-1
педерастія;-2
педофіл;-2
педофілія;-1
первозданний;1
перебільшувати;-1
перевага;1
переважний;1
перевищення;-1
перегороджувати;-1
передбачити;1
передозування;-1
передсмертний;-1
передчуття;1
переконливий;1
перекреслювати;-1
перемога;1
переможний;1
перенасичувати;-1
переплачувати;-1
пересічний;-1
переслідувати;-1
пересмикувати;-1
першокласний;2
першосортний;1
песимістичний;-1
печальний;-1
пиздець;-2
пильність;1
писклявий;-1
пихатий;-1
пишатися;1
пишність;2
пияцтво;-1
підарас;-2
підбивати;-1
підвищуватися;1
підводити;-1
піддаватися;-1
піддослідний;-1
підірвати;-1
підкріплення;1
підкуповувати;-1
підневільний;-1
підозра;-1
підозрілий;-1
підозрювати;-1
підпалювати;-1
підпорядковувати;-1
підривати;-1
підриватися;-1
підробка;-1
підроблений;-1
підробляти;-1
підсаджувати;-1
підсаджуватися;-1
підставний;-2
підступи;-1
підступний;-1
підсудний;-1
підтримувати;1
підтримуватися;1
пізнавальний;1
пізнавати;1
пізнання;1
піклуватися;1
пільговий;2
піратський;-1
піхва;-2
плагіат;-1
плаксивий;-1
плачевний;-1
плебейський;-1
плідний;1
плутанина;-1
плутатися;-1
плювати;-2
плюнути;-1
пневмонія;-1
по-дитячому;1
по-людськи;1
побиття;-1
поблажливий;-1
побої;-2
побоювання;-1
побоюватися;-1
повага;1
поважати;1
поважний;1
повалення;-1
повальний;-1
повільний;-1
повія;-2
повнофункціональний;1
повноцінний;1
повстання;-1
повчальний;1
повчання;1
поганий;-1
поганка;-1
погано;-1
погіршення;-1
погіршувати;-2
погіршуватися;-1
пограбування;-1
пограбувати;-1
погубити;-1
подільник;-1
подобатися;1
подолання;1
подружитися;1
подяка;1
подячний;1
пожертвування;1
пожертвувати;1
поживний;1
позаздрити;-1
позамежний;-2
позаплановий;-1
позбавлення;-1
позбавляти;-1
позбавлятися;-1
позитивний;1
позитивно;1
покарання;-2
покійний;-1
покупка;-1
полегшення;1
полегшувати;1
полінуватися;-1
поліпшення;1
поліпшувати;1
поліпшуватися;1
політкоректність;1
полон;-1
полохливий;-1
пом'якшення;1
пом'якшувати;1
померти;-1
помилка;-1
помилковий;-1
помилування;1
помилувати;1
помилуватися;1
помилятися;-1
поминальний;-1
помовчувати;-1
